category,name,price,description
Appetizers,Veggie Sambusa,7.65,Lentils.
Appetizers,Roll Sampler,8.65,"Misir, Shiro, and Kik."
Appetizers,Chicken Wings with Fries (6 pcs),12.95,
Breakfast,Scrambled Egg Ethiopian Style,12.00,"Three eggs, tomato, diced onion, and jalapeno pepper."
Vegetarian,Super Veggie Combo,31.95,Chef's selection of vegetarian dishes. Feeds 2 people.
Beef,Special Kitfo*,25.95,Mixed with spiced collard green and cottage cheese.
Beef,Zilzil Tibs,22.95,"Lean beef strips sauteed with mixed bell peppers, onion, Ethiopian herbs and dash of berbere"
Beef,Godin Tibs,25.00,"Sizzling prime short ribs, Ethiopian herbs, fresh onion, tomatoes, garlic, jalapenos"
Beef,Full Kurt\u002FGeba Weta*,55.00,"One pound raw\u002FRare cooked meat, lime, mitmita, awaze, mustard seed (senafich)"
Beef,Half Kurt\u002FGeba Weta*,30.00,"Half pound raw\u002FRare cooked meat, lime, mitmita, awaze, mustard seed (senafich)"
Lamb,Yebeg Tibs,23.95,"Lamb meat, a special blend of house spices, onion, tomato, jalapeno pepper, and Ethiopian butter (Ki"
Chicken,Chicken Tibs with Rice,18.95,"Cubs of chicken breast, onion, tomato, jalapenos, house blend spices, sautéed, served on rice or Inj"
Pasta,Pasta Veggie,15.95,"Yetsom • Celery, onion, garlic tomato, and jalapeno."
Combinations,Half Meat Half Veggie,32.95,For 2+ People. Pick your favorite 4 items from the Vegetarian plus Siga Wat & Yebeg Alicha.
Combinations,Meat Combo,35.95,"For 2+ People. A serving of our three meat specialties: Doro, Sega & Yebeg Alicha with a side choice"
Combinations,Tour of Ethiopia,62.95,"For 4+ People. Roll sampler appetizer of Misir, Shiro & Kik Rolls. Our Meat Combo, Veggie Combo & Zi"
Kids Menu,Pasta with Tomato Sauce,7.95,
Extras,Egg,1.25,
